chrom	start	end	gene
chr1	3669014	3688209	CCDC27
chr1	150768684	150780736	CTSK
chr1	160121352	160156767	ATP1A4
chr1	168250115	168283664	TBX19
chr1	204001575	204010392	LINC00303
chr1	218216847	218232482	LINC01653
chr2	20678386	20701284	LOC107985856
chr2	47387221	47404075	CALM2
chr2	130939835	130948300	MZT2B
chr2	131594487	131804826	ARHGEF4
chr2	152126984	152146182	NMI
chr2	213660055	213683987	LINC01878
chr3	3108008	3152058	IL5RA
chr3	48784019	48885307	PRKAR2A
chr3	73858395	73928771	LINC02005
chr3	75721432	75728454	LINC00960
chr3	98298290	98312455	CPOX
chr3	121350246	121379750	HCLS1
chr4	156845270	156875018	CTSO
chr5	156456424	156486127	HAVCR1
chr6	3224515	3227887	TUBB2B
chr6	17600533	17611946	FAM8A1
chr6	39282474	39290744	KCNK16
chr6	85442214	85474316	TBX18
chr6	108616258	108847204	AFG1L
chr6	117996632	118031886	NUS1
chr6	132129160	132216295	ENPP1
chr7	32956427	32982782	RP9P
chr7	100861446	100867471	ZNHIT1
chr7	116139792	116148595	CAV2
chr7	155434610	155437100	LOC100506302
chr8	57124197	57131368	CHCHD7
chr8	66927213	67013480	DNAJC5B
chr8	74153659	74171737	C8orf89
chr8	97506041	97624018	SDC2
chr8	101145579	101158045	FBXO43
chr8	145703365	145727504	PPP1R16A
chr9	33817158	33920397	UBE2R2
chr9	34329504	34343711	NUDT2
chr9	84543343	84549913	SPATA31D4
chr9	99401860	99417599	PRXL2C
chr9	108456822	108538910	TMEM38B
chr9	110045560	110094475	RAD23B
chr9	118501949	118506518	LOC101928775
chr9	139567595	139581909	AGPAT2
chr10	32094326	32217804	ARHGAP12
chr10	43867084	43871783	FXYD4
chr10	72575704	72640932	SGPL1
chr10	75572259	75634349	CAMK2G
chr10	99588235	99609555	LINC00866
chr10	102790991	102800998	SFXN3
chr10	107433368	107580091	LINC02627
chr10	111967363	112047123	MXI1
chr10	112404094	112599226	RBM20
chr11	494512	507242	RNH1
chr11	1295598	1330862	TOLLIP
chr11	5263185	5264822	HBBP1
chr11	67922330	67981115	KMT5B
chr11	111116450	111157126	C11orf53
chr11	128834955	129062093	ARHGAP32
chr12	8234807	8250476	NECAP1
chr12	8834196	8935687	RIMKLB
chr12	12510012	12624166	BORCS5
chr12	48876281	48890307	C12orf54
chr12	49359123	49365518	WNT10B
chr12	71518876	71551779	TSPAN8
chr12	95867928	95909613	METAP2
chr12	123319295	123347508	HIP1R
chr13	25735817	25746421	AMER2
chr13	29233267	29253096	POMP
chr13	33160589	33352157	PDS5B
chr13	50486838	50510637	SPRYD7
chr13	53602948	53626188	OLFM4
chr13	113623528	113754056	MCF2L
chr14	34393433	34420280	EGLN3
chr14	94547656	94569055	IFI27L1
chr14	96968713	97033453	PAPOLA
chr14	98098984	98152995	LINC02291
chr15	41795835	41806025	LTK
chr17	42430583	42441221	FAM171A2
chr17	79890262	79895204	PYCR1
chr18	13663346	13726557	FAM210A
chr18	43660214	43684199	ATP5F1A
chr18	44633781	44676871	HDHD2
chr19	1103993	1106778	GPX4
chr19	22573821	22605148	ZNF98
chr19	41594356	41602100	CYP2A13
chr19	43857838	43867324	CD177
chr19	45349554	45392480	NECTIN2
chr19	54597933	54605994	OSCAR
chr20	17474550	17549865	BFSP1
chr20	43248160	43280399	ADA
chr22	39916564	39918691	ATF4
chrX	16141688	16171641	GRPR
chrX	41192561	41223725	DDX3X
chrX	48644982	48652717	GATA1
chrX	64887521	64961793	MSN
chrX	134252882	134254454	ETDB
chrX	138663929	138790381	MCF2
